issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,37.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,35.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
Federal National Mortgage Association,Investment Grade,35.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,35.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
Federal National Mortgage Association,Investment Grade,41.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,37.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,36.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,35.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,53.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Future,Government Related,
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Treasury Future,Government Related,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Citigroup Mortgage Loan Trust 2021-Rp4,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Durham Mortgages B PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
United States Treasury Notes,Investment Grade,6.0,Bond - Gov't/Treasury,Government,Developed
CITIGROUP MORTGAGE LOAN TRUST 2023-RP1,,,Bond - Asset Backed,Asset Backed,Developed
Grosvenor Square RMBS 2023-1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
South Africa (Republic of),Below Investment Grade,-27.0,Bond - Gov't/Treasury,Government,Emerging
,,,Interest Rate Swap,Government Related,
Federal Home Loan Mortgage Corp.,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Bond - Non-Agency Residential MBS,,
,,,Credit Default Swap,Swap,
Federal National Mortgage Association,Investment Grade,48.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,48.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Non-Agency Residential MBS,,
United States Treasury Bonds,Investment Grade,7.0,Bond - Gov't/Treasury,Government,Developed
CITIGROUP MORTGAGE LOAN TRUST 2022-RP3,,,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,28.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
